OWNER,TABLE,DATA_TYPE,LABEL,ALIAS,TYPE,DESC
﻿BIOTA,NJ_VernalHabitat,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BIOTA,NJ_VernalHabitat,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BIOTA,NJ_VernalHabitat,Polygon,REGION,REGION,String,The Landscape Region where the geographic centrum of the polygon occurs
BIOTA,NJ_VernalHabitat,Polygon,VPH_ID,VPH_ID,SmallInteger,Unique ID to identify vernal habitat
BIOTA,NJ_VernalHabitat,Polygon,VPH_TYPE,VPH_TYPE,String,The type of vernal habitat polygon represents
BIOTA,NJ_VernalHabitat,Polygon,VERSION,VERSION,String,Number used to track version
BIOTA,NJ_VernalHabitat,Polygon,Shape_Leng,SHAPE_LENG,Double,Length of feature
BIOTA,NJ_VernalHabitat,Polygon,ACRES,ACRES,Double,acres of feature
BIOTA,NJ_VernalHabitat,Polygon,HECTARES,HECTARES,Double,hectares of feature
BIOTA,NJ_VernalHabitat,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BIOTA,NJ_VernalHabitat,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BIOTA,NJ_VernalHabitat,Polygon,OBJECTID,No variable,No variable,Internal feature number.
BIOTA,NJ_VernalHabitat,Polygon,LINKID,No variable,No variable,Unique ID used to link polygons with species look-up tables
BIOTA,NJ_VernalHabitat,Polygon,COMNAME,No variable,No variable,(Common Name)Common name of species present
BIOTA,NJ_VernalHabitat,Polygon,SCINAME,No variable,No variable,(Scientific Name) Scientific name of species present
BIOTA,NJ_VernalHabitat,Polygon,FEAT_LABEL,No variable,No variable,"(Feature Label) - A label assigned to each occurrence that describes the occurrence type (e.g., nest, den, dead on road, etc.)."
BIOTA,NJ_VernalHabitat,Polygon,CLASS,No variable,No variable,a taxonomic level
BIOTA,NJ_VernalHabitat,Polygon,RANK,No variable,No variable,"(RANK) - patches are classified, or ""valued,"" based on the status of the species present"
BIOTA,NJ_VernalHabitat,Polygon,FED_STATUS,No variable,No variable,(Federal Status) -Federal status of species present
BIOTA,NJ_VernalHabitat,Polygon,NJ_STATUS,No variable,No variable,(New Jersey Status) - The New Jersey Status of species present
BIOTA,NJ_VernalHabitat,Polygon,MX_YEAR,No variable,No variable,(LAST OBSERVATION YEAR) - Year species was last observed
BIOTA,NJ_VernalHabitat,Polygon,CNT_SOA,No variable,No variable,(SPECIES OCCURENCE AREA COUNT) - count of the number of species occurrence areas that intersect the patch of habitat
BIOTA,NJ_NatHeritSites,Polygon,OBJECTID,OBJECTID,OID,Internal feature number.
BIOTA,NJ_NatHeritSites,Polygon,Shape,SHAPE,Geometry,Feature geometry.
BIOTA,NJ_NatHeritSites,Polygon,SITECODE,SITECODE,String,An alphanumeric code unique to each site.
BIOTA,NJ_NatHeritSites,Polygon,SITENAME,SITENAME,String,A unique name for each site.
BIOTA,NJ_NatHeritSites,Polygon,VERSION,VERSION,String,The year and month of the current version of the Natural Heritage Priority Sites coverage.
BIOTA,NJ_NatHeritSites,Polygon,COUNTY,COUNTY,String,The county or counties where the Natural Heritage Priority Site is located
BIOTA,NJ_NatHeritSites,Polygon,QUADNAME,QUADNAME,String,The names of all US Geological Survey 7.5 minute topographic quadrangle maps that the site is found within
BIOTA,NJ_NatHeritSites,Polygon,MUNICIPALI,MUNICIPALI,String,"Name of all municipalities that Site is within (note that some municipal names - e.g. Hamilton Twp., Washington Twp. - are repeated in more than one county).  No distinction is made as to which county a particular municipality is within.  More detailed information on municipalities can be gathered by overlaying county and municipal coverages that are available from the NJ DEP."
BIOTA,NJ_NatHeritSites,Polygon,DESCRIPTIO,DESCRIPTIO,String,This is a description of the Natural Heritage site (Ex. Rock Ledge and Seepage areas along the Delaware River)
BIOTA,NJ_NatHeritSites,Polygon,BOUNDJUST,BOUNDJUST,String,A written justification for the site boundaries.  The boundaries of each Natural Heritage Priority Site are drawn to encompass critical habitat for the rare species or ecological communities.  Often the boundaries extend to include additional buffer lands that should be managed to protect this critical habitat.  A justification for the boundary is provided for each site.
BIOTA,NJ_NatHeritSites,Polygon,BIODIVRANK,BIODIVRANK,String,"Each site is ranked according to its significance for biological diversity using a scale developed by The Nature Conservancy, the network of Natural Heritage Programs and the New Jersey Natural Heritage Program.  The ranks can be used to distinguish between sites that are of global significance for conservation of biological diversity vs. those that are of state significance. The global biodiversity significance ranks range from B1 to B5.  Within the Highlands Region the global biodiversity significance rank has been combined with a state biodiversity significance rank which provides information about the significance of the site on a state level.  The state biodiversity significance ranks for sites in the Highlands Region range from V1 to V5.  Therefore, all sites have been assigned a global biodiversity rank (B rank), but not all sites have been assigned a state biodiversity rank (V rank)."
BIOTA,NJ_NatHeritSites,Polygon,SITECLASS,SITECLASS,String,"Each site is categorized as a macrosite or a standard site.  Standard sites are usually smaller in size, while macrosites tend to be larger.  It is not unusual to find several standard sites entirely contained within the boundaries of a macrosite."
BIOTA,NJ_NatHeritSites,Polygon,BIODIVCOMM,BIODIVCOMM,String,Text providing justification for assigning the biodiversity rank.
BIOTA,NJ_NatHeritSites,Polygon,SHAPE.AREA,SHAPE.AREA,Double,No variable
BIOTA,NJ_NatHeritSites,Polygon,SHAPE.LEN,SHAPE.LEN,Double,No variable
BIOTA,NJ_MusselHabitat,Polyline,OBJECTID,OBJECTID,OID,Internal feature number.
BIOTA,NJ_MusselHabitat,Polyline,Shape,SHAPE,Geometry,Feature geometry.
BIOTA,NJ_MusselHabitat,Polyline,LINKID,LINKID,Integer,Unique ID used to link polygons with species look-up tables
BIOTA,NJ_MusselHabitat,Polyline,LNDR,LNDR,SmallInteger,"(RANK) - patches are classified, or valued, based on the status of the species present"
BIOTA,NJ_MusselHabitat,Polyline,FIRST_GNIS,FIRST_GNIS,String,Unique identifier assigned by GNIS
BIOTA,NJ_MusselHabitat,Polyline,REGION,REGION,String,The Landscape Region where the geographic centrum of the polygon occurs
